year,party,word,count
1989,Con,20,1
1989,Con,abode,64
1989,Con,abortions,1
1989,Con,access,41
1989,Con,accused,1
1989,Con,action,7
1989,Con,african,1
1989,Con,alleged,1
1989,Con,an,5
1989,Con,any,6
1989,Con,anyone,3
1989,Con,appeal,70
1989,Con,appropriation,1
1989,Con,audience,34
1989,Con,authors,1
1989,Con,back,6
1989,Con,benbow,1
1989,Con,bill,1
1989,Con,born,1
1989,Con,both,1
1989,Con,brel,1
1989,Con,britain,3
1989,Con,british,7
1989,Con,carriage,1
1989,Con,certain,1
1989,Con,chancellor,1
1989,Con,chcs,1
1989,Con,chief,1
1989,Con,child,13
1989,Con,children,13
1989,Con,choice,3
1989,Con,citizen,6
1989,Con,citizens,5
1989,Con,citizenship,1
1989,Con,city,1
1989,Con,clawback,1
1989,Con,coal,1
1989,Con,collective,1
1989,Con,commercial,1
1989,Con,commission,1
1989,Con,commissioner,1
1989,Con,committee,1
1989,Con,common,2
1989,Con,community,1
1989,Con,company,1
1989,Con,comparatively,1
1989,Con,complaint,1
1989,Con,confiscation,1
1989,Con,conscience,1
1989,Con,conservation,1
1989,Con,consultation,1
1989,Con,consumer,3
1989,Con,consumers,6
1989,Con,council,3
1989,Con,country,3
1989,Con,courts,1
1989,Con,crown,4
1989,Con,customers,1
1989,Con,debate,3
1989,Con,decision,1
1989,Con,defence,3
1989,Con,defendants,1
1989,Con,disabled,2
1989,Con,dismissal,1
1989,Con,editors,1
1989,Con,emigration,1
1989,Con,employee,1
1989,Con,employees,2
1989,Con,entry,9
1989,Con,environment,1
1989,Con,esaf,1
1989,Con,every,6
1989,Con,everyone,2
1989,Con,exclusion,1
1989,Con,exclusive,1
1989,Con,executive,1
1989,Con,existing,2
1989,Con,fathers,1
1989,Con,first,1
1989,Con,former,2
1989,Con,four,1
1989,Con,fox,1
1989,Con,france,1
1989,Con,free,7
1989,Con,freedom,6
1989,Con,french,1
1989,Con,general,1
1989,Con,german,1
1989,Con,good,1
1989,Con,goverment,1
1989,Con,government,17
1989,Con,gps,1
1989,Con,gracious,1
1989,Con,grandparents,4
1989,Con,greater,1
1989,Con,health,1
1989,Con,him,2
1989,Con,his,2
1989,Con,home,2
1989,Con,hon,8
1989,Con,hong,2
1989,Con,house,9
1989,Con,human,288
1989,Con,immediate,1
1989,Con,incumbent,1
1989,Con,independent,1
1989,Con,individual,18
1989,Con,individuals,12
1989,Con,information,2
1989,Con,initiative,1
1989,Con,investigation,1
1989,Con,israel,1
1989,Con,it,3
1989,Con,its,1
1989,Con,kings,1
1989,Con,labour,2
1989,Con,larger,1
1989,Con,law,1
1989,Con,lawful,1
1989,Con,life,2
1989,Con,local,6
1989,Con,london,1
1989,Con,low,2
1989,Con,majority,5
1989,Con,making,1
1989,Con,man,2
1989,Con,management,1
1989,Con,mankind,1
1989,Con,manufacturers,1
1989,Con,market,1
1989,Con,medical,1
1989,Con,member,3
1989,Con,members,2
1989,Con,minister,1
1989,Con,minorities,2
1989,Con,minority,2
1989,Con,monopolies,1
1989,Con,most,1
1989,Con,mother,1
1989,Con,mothers,1
1989,Con,motorways,1
1989,Con,movement,2
1989,Con,my,5
1989,Con,national,2
1989,Con,nato,1
1989,Con,negotiation,1
1989,Con,non,3
1989,Con,northern,1
1989,Con,now,1
1989,Con,nra,1
1989,Con,objection,1
1989,Con,objectors,1
1989,Con,occupation,1
1989,Con,offence,1
1989,Con,once,2
1989,Con,one,2
1989,Con,opposition,3
1989,Con,ordinary,3
1989,Con,other,3
1989,Con,others,4
1989,Con,our,5
1989,Con,ownership,1
1989,Con,palestinians,2
1989,Con,parental,2
1989,Con,parents,7
1989,Con,parliament,8
1989,Con,parliamentarians,1
1989,Con,peaceful,1
1989,Con,people,11
1989,Con,permanent,1
1989,Con,persons,1
1989,Con,petitioners,1
1989,Con,police,3
1989,Con,pre,8
1989,Con,pregnant,1
1989,Con,press,3
1989,Con,prison,2
1989,Con,privacy,24
1989,Con,private,4
