Election date,Notes,Conservative Party,Labour Party,LibDem
11/6/1987,GENERAL ELECTION,376,229,22
10/11/1988,Lab. To SNP,376,228,22
4/4/1989,Con. To Lab.,375,229,22
22/3/1990,Con. To Lab.,374,230,22
16/3/1991,Con. To Lab.,373,231,22
8/10/1990,Con. To Lib. D.,372,231,23
7/3/1991,Con. To Lib. D.,371,231,24
7/11/1991,Con. To Lab.,370,233,24
7/11/1991,Con. To Lib. D.,369,233,25
9/4/1992,GENERAL ELECTION,336,271,20
6/5/1993,Con. To Lib.D.,335,271,21
29/7/1993,Con. To Lib.D.,334,271,22
9/6/1994,Con. to Lib.D.,333,271,23
15/12/1994,Con. To Lab.,332,272,23
15/6/1995,Con. To S.Nat.,331,272,23
15/6/1995,UPUP to UKU,331,272,23
27/7/1995,Con. To Lib.D.,330,272,24
11/4/1996,Con. To Lab.,329,273,24
28/2/1997,Con. To Lab.,328,274,24
1/5/1997,GENERAL ELECTION,165,419,46
5/5/2000,Con. To Lib.D.,164,419,47
21/9/2000,UU to DUP,164,419,47
7/5/2001,GENERAL ELECTION,166,413,52
18/9/2003,Lab. To Lib.D.,166,412,53
14/7/2004,Lab. To Lib.D.,166,411,54
5/5/2005,GENERAL ELECTION,198,356,62
8/2/2006,Lab to Lib.D.,198,355,63
23/6/2006,Ind. To Ind.,198,355,63
23/5/2008,Lab. To Con.,199,354,63
24/7/2008,Lab. To S.N.P.,199,353,63
23/7/2009,Lab. To Con.,200,352,63
6/5/2010,GENERAL ELECTION,307,258,87
29/3/2012,Lab. To Resp.,307,259,87
25/11/2012,Con. To Lab.,306,258,87
9/10/2014,Con. To UKIP,305,258,87
20/11/2014,Con. To UKIP,304,258,87
7/5/2015,GENERAL ELECTION,331,232,8
1/12/2016,Con. To Lib.Dem.,330,232,9
23/2/2017,Lab. To Con.,331,233,9
8/6/2017,GENERAL ELECTION,317,262,12
1/8/2019,Con. To Lib.Dem.,316,262,12
