name,start_date,end_date
All ministries,1987-06-11,2022-09-06
Third Thatcher ministry [Con],1987-06-11,1990-11-28
First Major ministry [Con],1990-11-28,1992-04-10
Second Major ministry [Con],1992-04-10,1997-05-02
First Blair ministry [Lab],1997-05-02,2001-06-08
Second Blair ministry [Lab],2001-06-08,2005-05-06
Third Blair ministry [Lab],2005-05-06,2007-06-28
Brown ministry [Lab],2007-06-28,2010-05-11
Cameron-Clegg coalition [Con+LibDem],2010-05-11,2015-05-08
Second Cameron ministry [Con],2015-05-08,2016-07-13
First May ministry [Con],2016-07-13,2017-06-11
Second May ministry [Con],2017-06-11,2019-07-24
First Johnson ministry [Con],2019-07-24,2019-12-16
Second Johnson ministry [Con],2019-12-16,2022-09-06
